City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,darwin,-12.4611,130.8418,18.99,42,0,6.17,AU,1690329633
202,puerto baquerizo moreno,-0.9,-89.6,25.05,82,25,5.5,EC,1690329633
203,itoman,26.1247,127.6694,30.01,87,75,6.69,JP,1690329634
204,fort-shevchenko,44.5086,50.263,25.2,67,3,6.34,KZ,1690329634
205,twon-brass,4.3151,6.2418,24.88,92,81,1.95,NG,1690329634
206,remire-montjoly,4.9167,-52.2667,26.02,94,0,1.03,GF,1690329634
207,fisterra,42.9049,-9.2629,15.42,82,100,4.02,ES,1690329635
208,marsa alam,25.0757,34.8918,33.04,29,31,0.94,EG,1690329635
209,al kharj,24.155,47.3346,33.32,10,87,2.94,SA,1690329635
210,boonville,38.9736,-92.7432,33.43,62,40,4.12,US,1690329627
211,la paz,-16.5,-68.15,11.99,37,0,3.09,BO,1690329584
212,santa ana de yacuma,-13.75,-65.4333,28.97,61,27,0.0,BO,1690329636
213,gloucester,51.8657,-2.2431,13.18,86,46,0.45,GB,1690329636
214,shingu,33.7333,135.9833,33.28,54,4,0.3,JP,1690329636
215,saint-esprit,14.55,-60.9333,25.53,89,0,2.57,MQ,1690329636
216,acarau,-2.8856,-40.12,27.06,80,9,9.41,BR,1690329636
217,salinopolis,-0.6136,-47.3561,28.04,74,78,7.79,BR,1690329636
218,egilsstadir,65.2653,-14.3948,5.95,87,75,3.6,IS,1690329637
219,mount isa,-20.7333,139.5,19.87,68,75,4.63,AU,1690329637
220,aginskoye,51.1,114.53,21.29,62,29,1.04,RU,1690329637
221,st. john's,47.5649,-52.7093,18.66,88,75,2.06,CA,1690329607
222,tagiura,32.8817,13.3506,32.69,39,0,4.35,LY,1690329637
223,colonia,50.9333,6.95,14.92,79,0,1.03,DE,1690329637
224,bethanie,-26.4833,17.15,14.55,28,85,5.13,NA,1690329638
225,vila velha,-20.3297,-40.2925,20.97,98,100,1.03,BR,1690329638
226,ola,59.5833,151.2833,21.75,64,34,2.8,RU,1690329638
227,afaahiti,-17.75,-149.2833,26.93,84,0,9.21,PF,1690329643
228,neiafu,-18.65,-173.9833,24.38,64,75,1.03,TO,1690329643
229,la ronge,55.1001,-105.2842,24.14,43,100,4.12,CA,1690329644
230,ulladulla,-35.35,150.4667,16.19,45,17,3.02,AU,1690329644
231,saldanha,-33.0117,17.9442,13.57,67,92,0.31,ZA,1690329644
232,xiaoweizhai,26.1903,107.5125,24.02,91,100,1.26,CN,1690329644
233,nueve de julio,-35.4444,-60.8831,10.54,89,100,1.79,AR,1690329592
234,lumberton,34.6182,-79.0086,31.99,55,0,1.54,US,1690329644
235,bereket,39.2446,55.5154,26.48,71,6,5.8,TM,1690329644
236,ribas do rio pardo,-20.4431,-53.7592,22.37,35,0,1.22,BR,1690329645
237,tshabong,-26.05,22.45,16.04,51,29,7.97,BW,1690329645
238,sarina,-21.4333,149.2167,21.82,61,48,6.3,AU,1690329645
239,port augusta,-32.5,137.7667,12.47,53,0,1.22,AU,1690329645
240,big rapids,43.6981,-85.4837,26.85,67,0,0.0,US,1690329636
241,touros,-5.1989,-35.4608,25.57,76,46,9.55,BR,1690329645
242,anadyr,64.75,177.4833,13.28,82,75,3.58,RU,1690329645
243,avarua,-21.2078,-159.775,24.03,60,75,3.09,CK,1690329646
244,tofol,5.3248,163.0078,28.88,79,75,1.54,FM,1690329646
245,guasdualito,7.2424,-70.7324,26.98,83,20,1.03,VE,1690329646
246,gizo,-8.103,156.8419,25.92,91,100,7.44,SB,1690329646
247,pangody,65.85,74.4859,18.21,65,100,6.16,RU,1690329646
248,meulaboh,4.1363,96.1285,23.93,93,77,1.69,ID,1690329646
249,sorsk,54.0033,90.2467,14.38,88,55,3.38,RU,1690329647
250,khanty-mansiysk,61.0042,69.0019,17.06,100,75,0.0,RU,1690329647
251,belle glade,26.6845,-80.6676,28.9,67,38,9.86,US,1690329647
252,saint-philippe,-21.3585,55.7679,20.77,86,82,1.85,RE,1690329647
253,boguchany,58.3814,97.4531,18.57,83,37,0.82,RU,1690329647
254,al fallujah,33.3538,43.7795,28.94,24,0,3.4,IQ,1690329648
255,ha'il,27.5219,41.6907,29.01,18,0,1.03,SA,1690329648
256,san mariano,7.5,126.0,27.25,72,93,2.12,PH,1690329648
257,new hamburg,43.3834,-80.6997,25.82,68,2,3.04,CA,1690329648
258,at-bashi,41.1702,75.8106,12.73,63,1,0.7,KG,1690329648
259,hobyo,5.3505,48.5268,24.61,80,49,10.66,SO,1690329648
260,abraveses,40.6814,-7.921,13.69,76,0,1.4,PT,1690329649
261,hirara,24.8,125.2833,29.92,79,75,7.72,JP,1690329649
262,dryden,49.7833,-92.7503,20.16,83,100,2.06,CA,1690329649
263,fougamou,-1.2154,10.5838,22.79,83,59,1.74,GA,1690329649
264,ciudad lazaro cardenas,17.9583,-102.2,29.42,74,79,1.26,MX,1690329649
265,mariental,-24.6333,17.9667,14.09,40,32,1.54,NA,1690329649
266,katsuura,35.1333,140.3,30.32,61,93,2.32,JP,1690329649
267,nishinoomote,30.7333,131.0,28.31,100,75,4.63,JP,1690329650
268,soio,-6.1349,12.3689,22.1,81,0,1.6,AO,1690329650
269,denkanikota,12.5333,77.8,20.18,95,100,7.58,IN,1690329650
270,impfondo,1.6381,18.0667,22.97,90,100,1.25,CG,1690329650
271,gorodoviki,46.1353,41.9656,21.69,55,5,3.36,RU,1690329650
272,kargasok,59.0556,80.8572,15.6,91,8,2.77,RU,1690329651
273,jieshi,22.8134,115.8257,28.85,77,82,2.27,CN,1690329651
274,fale old settlement,-9.3852,-171.2468,28.83,71,6,7.6,TK,1690329651
275,lebu,-37.6167,-73.65,11.28,77,95,3.2,CL,1690329651
276,mount pearl,47.5166,-52.7813,18.19,88,75,2.06,CA,1690329651
277,rio grande,-32.035,-52.0986,16.06,96,100,4.44,BR,1690329651
278,kankaanpaa,61.8,22.4167,14.42,88,100,2.33,FI,1690329652
279,ouezzane,34.7971,-5.5822,16.72,83,0,0.36,MA,1690329652
280,hammerfest,70.6634,23.6821,11.25,87,20,3.6,NO,1690329652
281,fort bragg,35.139,-79.006,32.08,58,0,2.06,US,1690329586
282,ambon,-3.6954,128.1814,28.46,100,40,3.09,ID,1690329627
283,swift current,50.2834,-107.8014,31.45,16,0,7.2,CA,1690329606
284,tateyama,34.9833,139.8667,26.7,82,98,1.82,JP,1690329652
285,mana,5.6592,-53.7767,26.58,82,33,4.03,GF,1690329653
286,mitu,1.1983,-70.1733,21.77,99,93,0.24,CO,1690329613
287,tosontsengel,48.7567,98.2839,12.27,66,82,1.21,MN,1690329653
288,belmonte,-15.8631,-38.8828,20.11,97,20,0.2,BR,1690329658
289,timbuktu,16.7735,-3.0074,30.72,48,85,3.41,ML,1690329482
290,mathba,22.2855,89.9629,27.43,88,98,4.8,BD,1690329658
291,kayangel,8.0823,134.7173,25.7,84,100,4.57,PW,1690329659
292,zhangjiakou shi xuanhua qu,40.6103,115.0447,25.93,50,26,3.38,CN,1690329659
293,sona,45.4388,10.8255,21.51,53,75,3.09,IT,1690329659
294,bikenibeu village,1.3673,173.1241,24.98,94,75,2.06,KI,1690329659
295,palapag,12.5458,125.1147,28.37,77,100,11.56,PH,1690329659
296,road town,18.4167,-64.6167,26.02,89,40,3.09,VG,1690329659
297,port lincoln,-34.7333,135.8667,11.89,65,0,3.71,AU,1690329659
298,codrington,-38.2667,141.9667,9.6,81,100,2.97,AU,1690329660
299,brigantine,39.4101,-74.3646,23.91,89,23,1.85,US,1690329660
300,sitangkai,4.6628,119.3928,28.23,82,99,8.69,PH,1690329660
301,igarka,67.4667,86.5833,19.2,68,8,3.12,RU,1690329660
302,rongelap,11.1635,166.8941,28.53,75,81,8.12,MH,1690329660
303,san antonio de pale,-1.4014,5.6325,22.93,93,89,5.11,GQ,1690329660
304,lauro de freitas,-12.8944,-38.3272,26.01,78,40,2.57,BR,1690329661
305,oranjemund,-28.55,16.4333,12.33,92,40,5.73,NA,1690329661
306,lakatoro,-16.0999,167.4164,24.25,75,99,3.19,VU,1690329661
307,katsuren-haebaru,26.3369,127.8719,30.01,83,75,4.63,JP,1690329661
308,masterton,-40.9597,175.6575,7.16,89,100,3.84,NZ,1690329661
309,albertina,-22.2008,-46.6158,19.29,50,93,1.53,BR,1690329662
310,iacu,-12.7672,-40.2117,20.78,78,26,1.32,BR,1690329662
311,constantia,44.1833,28.65,24.38,66,23,8.01,RO,1690329662
312,robore,-18.3333,-59.75,25.24,39,28,1.5,BO,1690329662
